Epoch,Train Loss (MAE),Test Loss (MAE),Male MAE,Female MAE
1,8.576457,8.476958,8.700996,7.979264
2,7.944318,8.020563,7.980699,7.883993
3,7.612298,7.864496,7.794913,7.929918
4,7.541678,7.307769,7.32096,7.140926
5,7.140146,7.247748,7.327078,7.015546
6,6.924797,6.922711,7.044981,6.625304
7,6.484193,7.002576,6.534741,6.312724
8,6.502764,6.756706,6.46092,6.626561
9,5.958162,6.283805,6.739806,6.124705
10,5.924139,6.249756,6.101103,6.201549
11,5.936184,5.855472,6.300285,5.872115
12,5.718437,5.671804,6.135616,5.751292
13,5.65965,5.950922,5.656035,5.666736
14,5.297191,5.228345,5.425877,5.228497
15,5.046588,5.919529,5.292546,4.830368
16,4.849477,5.147797,5.087098,4.824891
17,4.592485,5.347042,5.173983,4.730022
18,4.7196,5.092262,4.652479,4.631275
19,4.39794,4.843309,5.179785,5.003693
20,4.561179,4.965923,4.658941,4.654974
21,4.722746,4.64444,4.833236,4.601933
22,4.074191,4.398649,4.373621,4.162955
23,4.234122,4.488711,4.598911,4.030859
24,4.136855,4.476859,4.589148,4.110962
25,3.807223,3.940464,4.289976,3.942346
26,3.843074,4.149497,4.49591,4.089607
27,3.540441,3.567195,4.385833,3.682415
28,3.680866,3.571531,4.039916,3.699735
29,3.59546,3.784477,3.759629,3.637168
30,3.759111,3.724497,3.738913,3.663649
31,3.462926,3.859006,3.727424,3.598704
32,3.402817,3.804936,3.958397,3.326696
33,3.341401,3.630127,3.708614,3.46141
34,3.285516,3.503324,3.329566,3.289246
35,3.087613,3.462924,3.291091,3.326365
36,3.049952,3.317658,3.617857,3.29749
37,2.990725,3.025086,3.512075,3.138425
38,2.959826,3.271089,3.4632,3.001053
39,2.863702,3.27638,3.38566,3.213372
40,2.94179,3.117745,3.508964,2.899077
41,3.000605,2.859398,3.167772,2.997463
42,3.048812,2.788271,3.315393,3.143206
43,2.809642,3.100612,3.03628,2.948831
44,2.915597,3.209969,3.136062,2.851901
45,2.844287,2.819338,3.095027,2.832482
46,2.574898,2.858798,3.060302,2.892828
47,2.704184,2.849615,3.085369,2.842016
48,2.862388,2.672818,3.121605,2.812004
49,2.680698,2.737736,3.195282,2.675316
50,2.630635,2.786502,3.084173,2.668059
51,2.523969,2.829762,2.970864,2.781147
52,2.489775,2.940536,3.0066,2.562215
53,2.57582,2.725585,3.027772,2.670643
54,2.53038,2.674214,2.856105,2.640973
55,2.527114,2.804396,2.850272,2.583924
56,2.439168,2.845699,2.891584,2.590102
57,2.38833,2.542956,2.764807,2.50947
58,2.481392,2.521888,2.99181,2.559016
59,2.491986,2.873949,2.696978,2.367671
60,2.287562,2.49788,2.675413,2.365287
61,2.359808,2.57733,2.619512,2.511667
62,2.464423,2.540753,2.728377,2.466477
63,2.311138,2.632621,2.57538,2.498152
64,2.477235,2.72261,2.699387,2.634552
65,2.362996,2.526545,2.694639,2.415728
66,2.476975,2.371629,2.585241,2.441272
67,2.357305,2.670032,2.771251,2.42687
68,2.445217,2.481202,2.49724,2.243966
69,2.430521,2.654698,2.635172,2.363342
70,2.434939,2.439598,2.534734,2.277343
71,2.388821,2.595967,2.538264,2.349941
72,2.350686,2.459762,2.593079,2.319091
73,2.279383,2.458617,2.362682,2.431296
74,2.280583,2.458371,2.533386,2.193026
75,2.318241,2.309563,2.539981,2.21151
76,2.369449,2.476064,2.386668,2.441916
77,2.261923,2.412654,2.39052,2.232833
78,2.142473,2.362305,2.464216,2.221767
79,2.346739,2.364642,2.353929,2.266116
80,2.22416,2.418292,2.261778,2.198169
81,2.201962,2.352145,2.421388,2.150747
82,2.322514,2.431269,2.450699,2.151578
83,2.254403,2.351984,2.463991,2.203799
84,2.297057,2.413008,2.41618,2.243938
85,2.173271,2.246021,2.276903,2.127782
86,2.191341,2.241095,2.289233,2.132802
87,2.161333,2.255309,2.300154,2.141795
88,2.176413,2.265626,2.278785,2.136206
89,2.185867,2.260794,2.2903,2.134063
90,2.158763,2.259089,2.298006,2.139776
91,2.179636,2.241017,2.280089,2.148785
92,2.182697,2.230438,2.295116,2.126229
93,2.181335,2.245534,2.293385,2.119796
94,2.172447,2.241482,2.298842,2.099197
95,2.179244,2.234957,2.290649,2.120994
96,2.18327,2.265562,2.2784,2.151246
97,2.171836,2.246035,2.301084,2.130039
98,2.179898,2.272298,2.279532,2.126302
99,2.176892,2.219885,2.268293,2.126995
100,2.179562,2.253601,2.29084,2.133951
